month_name,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Jan,11029.808510638299,12128.150537634408,11974.956989247312,12090.870967741936,11996.967391304348,8395.301075268817,7440.817204301075
Feb,11387.857142857143,12531.494117647058,12309.847058823529,12341.576470588236,12233.105882352942,8519.333333333334,7519.1882352941175
Mar,11549.032258064517,12585.989130434782,12326.677419354839,12352.31182795699,12177.709677419354,8466.563829787234,7439.430107526881
Apr,11471.833333333334,12550.417582417582,12292.477777777778,12288.685393258427,11916.488888888889,8285.91111111111,7310.533333333334
May,10856.0,12695.118279569893,12639.860215053763,12625.393617021276,12323.666666666666,8456.849462365592,7502.510869565217
Jun,11876.277777777777,12884.134831460675,12767.611111111111,12802.533333333333,12521.055555555555,8667.4,7678.67032967033
Jul,11977.376344086022,13274.063829787234,13038.924731182795,13086.10752688172,12672.532608695652,8949.602150537634,7933.462365591397
Aug,12223.20652173913,13418.666666666666,13156.591397849463,13198.720430107527,12984.265957446809,9032.021505376344,7963.569892473119
Sep,11539.989010989011,13379.177777777777,13525.52808988764,13515.966666666667,13333.066666666668,9248.544444444444,8153.777777777777
Oct,11746.10752688172,12881.397849462366,12602.404255319148,12595.010752688173,12330.236559139785,8575.880434782608,7653.860215053764
Nov,12029.76404494382,13056.322222222223,12375.333333333334,11392.722222222223,11700.522222222222,8421.802197802197,7554.433333333333
Dec,11606.244680851063,12702.41935483871,12438.860215053763,12300.619565217392,11986.47311827957,8442.09677419355,7467.322580645161
